content_drop_id,element,element_id,data zakonczenia
3,e2,102,2010-11-13 21:09
3,e2,96,2010-11-08 15:25
18,e2,138,2012-02-19 14:30
18,e1,209,2012-02-19 21:11
11,e2,132,2011-04-03 03:05
13,e4,205,2011-07-18 12:23
8,e1,195,2011-02-22 16:00
3,e2,106,2010-11-13 21:05
18,e1,207,2012-02-19 21:06
1,e2,94,2010-04-10 10:49
40,e1,242,2012-09-24 13:36
11,e3,80,2011-04-03 03:05
8,e1,183,2011-02-21 20:04
11,e4,204,2011-04-03 03:11
22,e2,145,2012-04-16 20:23
8,e3,74,2011-02-22 16:08
18,e2,137,2012-02-19 21:14
8,e1,181,2011-02-21 11:39
11,e2,131,2011-04-03 03:08
1,e3,59,2010-04-10 10:49
18,e3,85,2012-02-19 21:18
8,e2,118,2011-02-21 20:03
2,e4,182,2010-07-11 23:41
11,e4,201,2011-04-03 01:15
11,e2,133,2011-04-03 03:11
11,e3,81,2011-04-03 03:11
1,e4,180,2010-04-10 10:49
